Path ID,Path Name,Master Mode,Typical Trigger,Phases (Count),Active Phases,Primary Form Unlocks (CA or state),Forms/Actions Disabled,Key Guardrails,Reclassification Triggers,Required Settlement-Trail Events,Primary Acceptance Scenario
PTH-01,Full Probate (Will),Court-Supervised,probate assets > threshold AND valid will,6,1-6,"DE-111, DE-150, DE-160, DE-165/Final Accounting (as applicable)","DE-310 (if > threshold), trust-only flows",notice-period lock; priority enforcement; distribution lock,new asset discovered; out-of-state property; insolvency; minors; will invalidated,PATH SELECTED; COURT TRACK ENABLED; FORMS UNLOCKED (DE-111/150/160),CA high-value estate with brokerage + real property
PTH-02,Intestate Probate (No Will),Court-Supervised,probate assets > threshold AND no will,6,1-6,"DE-111, DE-150, DE-160, DE-165/Final Accounting (as applicable)","DE-310 (if > threshold), will-only steps",heir determination tasks; notice-period lock; priority enforcement,will discovered later; asset threshold changes; ancillary trigger,PATH SELECTED; INTESTACY FLAGGED; HEIRSHIP TASKS INJECTED,No-will CA estate; later will found → reclassification
PTH-03,Summary / Simplified Probate,Court-Supervised,state supports summary AND qualifies (value/conditions),6,1-6 (reduced tasks),"DE-111 (or state summary petition), DE-150 (if required), DE-160 (if required)",tasks/forms not applicable under summary eligibility,eligibility verification; distribution lock; court deadlines,eligibility fails after new facts; asset threshold breach,PATH SELECTED; SUMMARY ELIGIBILITY VERIFIED; ROADMAP OVERRIDES APPLIED,FL summary administration–style scenario; CA equivalent if supported
PTH-04,Ancillary Probate (Overlay Track),Court-Supervised,out-of-state real property exists,+,"2,3,5 overlays","state-specific ancillary filings (e.g., AZ ancillary petition)",unrelated state forms,secondary jurisdiction task injection; title transfer tracking,out-of-state property added/removed,OVERLAY ADDED; ANCILLARY JURISDICTION RECORDED; ROADMAP MIGRATED,CA domicile + AZ property: verify second court tasks + gating
PTH-05,Texas Muniment of Title,Court-Supervised,TX + will + conditions for muniment,6 (UI),1-6 (admin tasks removed),TX muniment petition/recording artifacts,executor administration tasks/forms,title transfer focus; minimal administration; recording reminders,new debts/assets requiring admin; contest; beneficiary dispute,PATH SELECTED; MUNIMENT OVERRIDE APPLIED; ADMIN TASKS REMOVED,TX will + real property only → ensure admin tasks removed
PTH-06,Contested / Litigated Estate,Court-Supervised,dispute detected (will contest/claim dispute),6,1-6 + litigation overlay,court motion/pleading placeholders (informational),auto-distribution actions,freeze/hold distribution; attorney escalation prompts,litigation opened/closed; settlement reached,LITIGATION FLAGGED; DISTRIBUTION LOCKED; COUNSEL ADVISED,Will contest triggered → verify locks + attorney review workflow
PTH-07,Trust Administration (Revocable),Fiduciary-Administered,valid trust + funded assets (material),4,"1,3,4,6 (plus transfers)",Certificate of Trust artifacts; trust accounting export,DE-111/150/160 (unless pour-over),successor trustee authority; beneficiary notices; accounting integrity,non-trust assets discovered → pour-over hybrid,PATH SELECTED; TRUST DETECTED; TRUST TASKS ENABLED,Trust-funded estate; no probate assets → ensure probate forms gated
PTH-08,Irrevocable Trust Settlement,Fiduciary-Administered,irrevocable trust assets to administer,4,"1,3,4,6",trust accounting export; trustee actions,probate forms unless separate probate assets,tax prompts; trustee fiduciary record; restricted distributions as needed,additional trust discovered; litigation overlay,PATH SELECTED; IRREVOCABLE TRUST MODE; TAX RISK TASKS ADDED,Irrevocable trust with income + K-1/1041 reminders
PTH-09,Pour-Over Hybrid (Trust + Probate),Court-Supervised,trust exists but some assets outside trust,6,1-6,"DE-111, DE-150, DE-160 + Certificate of Trust",trust-only/no-probate shortcuts where probate assets exist,split asset scope; ensure probate only for non-trust assets,new assets discovered; trust funding corrected,PATH SELECTED; TRUST DETECTED; POUR-OVER APPLIED; SCOPE SPLIT,Hybrid: trust-held home + brokerage outside trust + POD account
PTH-10,Business Estate Administration (Overlay),Fiduciary-Administered,business interest detected,4+,"3,5,6 overlays",valuation artifacts; operating authority docs,distribution prior to valuation,valuation/authority gating; risk warnings,business sold/valued; authority obtained,OVERLAY ADDED; BUSINESS VALUATION REQUIRED; DISTRIBUTION LOCKED,LLC interest present → verify valuation tasks injected + locks
PTH-11,Insolvent Estate Administration (Overlay),Fiduciary-Administered,liabilities > assets (or projected),4+,"4,6 heavy",claims priority controls; insolvency report export,early distribution,priority enforcement; payment freeze; explicit warnings,asset values updated; new claims; solvency flips,OVERLAY ADDED; INSOLVENCY DETECTED; PAYMENT RESTRICTIONS ENABLED,"Assets $50k, liabilities $120k → priority blocks + warnings"
